y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
06,34,NJ,New Jersey,4934,8042,470097
06,42,PA,Pennsylvania,4789,7113,340369
06,37,NC,North Carolina,4548,8273,280100
06,15,HI,Hawaii,4088,7065,197380
06,26,MI,Michigan,3829,6023,223688
06,39,OH,Ohio,3790,6035,221051
06,24,MD,Maryland,3391,5401,223603
06,49,UT,Utah,3390,6744,159131
06,27,MN,Minnesota,2878,4579,196146
06,29,MO,Missouri,2735,4459,141287
06,47,TN,Tennessee,2570,4524,139139
06,18,IN,Indiana,2277,3837,110693
06,55,WI,Wisconsin,2243,3572,152429
06,09,CT,Connecticut,2178,3296,276642
06,35,NM,New Mexico,2105,3637,98846
06,16,ID,Idaho,1839,3381,70180
06,40,OK,Oklahoma,1820,3248,74418
06,22,LA,Louisiana,1701,2899,133012
06,20,KS,Kansas,1563,2796,79642
06,45,SC,South Carolina,1535,2675,70252
06,11,DC,District Of Columbia,1469,1880,150872
06,01,AL,Alabama,1232,2198,59586
06,02,AK,Alaska,1175,2104,50188
06,21,KY,Kentucky,1158,1969,59642
06,05,AR,Arkansas,1115,2039,44453
06,19,IA,Iowa,1105,1827,49990
06,31,NE,Nebraska,917,1627,50260
06,30,MT,Montana,876,1459,57800
06,28,MS,Mississippi,837,1553,37603
06,33,NH,New Hampshire,736,1051,44160
06,44,RI,Rhode Island,630,950,38278
06,23,ME,Maine,553,794,33019
06,56,WY,Wyoming,544,940,31005
06,38,ND,North Dakota,522,857,24538
06,46,SD,South Dakota,442,738,17646
06,10,DE,Delaware,412,680,27435
06,50,VT,Vermont,385,508,18791
06,54,WV,West Virginia,299,439,16768
08,96,CO,CO Total Migration-US and Foreign,76123,131276,4507290
08,97,CO,CO Total Migration-US,74124,126595,4351575
08,98,CO,CO Total Migration-Foreign,1999,4681,155715
08,97,CO,CO Total Migration-Same State,89984,162557,4928376
08,08,CO,CO Non-migrants,1932425,4134014,157232055
08,06,CA,California,8337,14858,646116
08,48,TX,Texas,7677,14537,485158
08,12,FL,Florida,4458,7190,213301
08,04,AZ,Arizona,3464,6291,180849
08,17,IL,Illinois,3104,4693,228281
08,36,NY,New York,2619,3877,225312
08,35,NM,New Mexico,2289,4313,110271
08,57,FR,Foreign,1999,4681,155715
08,53,WA,Washington,1895,3405,103857
08,20,KS,Kansas,1846,3306,89355
08,51,VA,Virginia,1821,3079,121617
08,13,GA,Georgia,1781,3275,88099
08,42,PA,Pennsylvania,1703,2598,94264
08,29,MO,Missouri,1646,2782,73516
08,56,WY,Wyoming,1641,2881,91838
08,37,NC,North Carolina,1626,2808,83567
08,39,OH,Ohio,1588,2491,83649
08,26,MI,Michigan,1543,2195,69074
08,27,MN,Minnesota,1482,2222,80966
08,31,NE,Nebraska,1481,2488,73318
08,40,OK,Oklahoma,1453,2746,84985
08,49,UT,Utah,1436,2987,71808
08,32,NV,Nevada,1311,2388,66711
08,55,WI,Wisconsin,1264,1882,76415
08,47,TN,Tennessee,1147,1914,53138
08,19,IA,Iowa,1092,1695,53999
08,41,OR,Oregon,1025,1682,64105
08,25,MA,Massachusetts,998,1350,74765
08,18,IN,Indiana,995,1620,50238
08,34,NJ,New Jersey,976,1541,81271
08,24,MD,Maryland,930,1529,38021
08,22,LA,Louisiana,754,1321,36221
08,15,HI,Hawaii,719,1349,46648
08,30,MT,Montana,686,1042,32014
08,45,SC,South Carolina,659,1086,21894
08,01,AL,Alabama,628,1130,28097
08,46,SD,South Dakota,624,972,24656
08,16,ID,Idaho,620,1141,29788
08,38,ND,North Dakota,611,1115,40518
08,21,KY,Kentucky,604,1156,23898
08,05,AR,Arkansas,579,1069,29473
08,02,AK,Alaska,549,986,32613
08,09,CT,Connecticut,546,763,43142
08,28,MS,Mississippi,346,629,15647
08,33,NH,New Hampshire,327,461,17181
08,11,DC,District Of Columbia,282,377,29990
08,50,VT,Vermont,260,331,10985
08,23,ME,Maine,234,332,9440
08,54,WV,West Virginia,215,333,9674
08,10,DE,Delaware,127,207,6544
08,44,RI,Rhode Island,126,172,5287
09,96,CT,CT Total Migration-US and Foreign,27588,47645,2418486
09,97,CT,CT Total Migration-US,26934,46169,2277368
09,98,CT,CT Total Migration-Foreign,654,1476,141118
09,97,CT,CT Total Migration-Same State,21110,33767,1178906
09,09,CT,CT Non-migrants,1383786,2839854,148163858
09,36,NY,New York,8339,15055,1016401
09,25,MA,Massachusetts,3015,4583,196950
09,12,FL,Florida,2447,4185,144141
09,34,NJ,New Jersey,1518,2611,146750
09,06,CA,California,1248,2069,107745
09,48,TX,Texas,1007,1917,76313
09,42,PA,Pennsylvania,921,1500,63047
09,44,RI,Rhode Island,904,1446,47833
09,37,NC,North Carolina,700,1249,38491
09,51,VA,Virginia,692,1230,45403
09,57,FR,Foreign,654,1476,141118
09,13,GA,Georgia,560,1018,31354
09,24,MD,Maryland,452,735,34474
09,17,IL,Illinois,400,682,37189
09,45,SC,South Carolina,383,626,16920
09,33,NH,New Hampshire,365,537,21349
09,39,OH,Ohio,324,554,22476
09,23,ME,Maine,313,492,13191
09,08,CO,Colorado,258,439,16323
09,50,VT,Vermont,246,363,11870
09,04,AZ,Arizona,236,400,15645
09,26,MI,Michigan,231,386,14219
09,53,WA,Washington,225,408,14070
09,47,TN,Tennessee,166,277,10478
09,11,DC,District Of Columbia,163,200,15743
09,27,MN,Minnesota,137,251,12237
09,18,IN,Indiana,130,240,13564
09,29,MO,Missouri,128,239,9335
09,55,WI,Wisconsin,124,225,9694
09,15,HI,Hawaii,123,216,5378
09,01,AL,Alabama,105,206,5588
09,21,KY,Kentucky,100,138,4479
09,49,UT,Utah,97,192,9624
09,41,OR,Oregon,94,161,5939
09,22,LA,Louisiana,94,150,4364
09,32,NV,Nevada,92,154,5143
09,10,DE,Delaware,84,151,6970
09,20,KS,Kansas,70,131,5318
09,40,OK,Oklahoma,61,105,2892
09,35,NM,New Mexico,58,105,2192
09,19,IA,Iowa,52,91,3293
09,05,AR,Arkansas,49,89,2008
09,54,WV,West Virginia,43,76,1984
09,28,MS,Mississippi,39,64,1742
09,31,NE,Nebraska,34,60,1438
09,16,ID,Idaho,33,66,3347
09,02,AK,Alaska,31,46,1285
09,38,ND,North Dakota,23,24,1007
09,56,WY,Wyoming,20,27,175
09,30,MT,Montana,-1,-1,-1
09,46,SD,South Dakota,-1,-1,-1
10,96,DE,DE Total Migration-US and Foreign,12050,22041,806699
10,97,DE,DE Total Migration-US,11824,21523,787469
10,98,DE,DE Total Migration-Foreign,226,518,19229
10,97,DE,DE Total Migration-Same State,2885,5254,119856
10,10,DE,DE Non-migrants,347432,721941,24478142
10,42,PA,Pennsylvania,3051,5547,188303
10,24,MD,Maryland,2452,4447,144801
10,34,NJ,New Jersey,1288,2296,141678
10,36,NY,New York,875,1596,63796
10,12,FL,Florida,583,987,24101
10,51,VA,Virginia,501,906,32869
10,48,TX,Texas,369,703,19681
10,06,CA,California,311,549,32683
10,37,NC,North Carolina,296,534,12668
10,13,GA,Georgia,246,466,12702
10,57,FR,Foreign,226,518,19229
10,39,OH,Ohio,138,268,8241
10,09,CT,Connecticut,130,243,8769
10,25,MA,Massachusetts,123,214,6947
10,17,IL,Illinois,119,231,9239
10,45,SC,South Carolina,117,203,7879
10,47,TN,Tennessee,97,222,4093
10,26,MI,Michigan,78,157,5022
10,04,AZ,Arizona,75,148,4503
10,11,DC,District Of Columbia,69,87,9508
10,08,CO,Colorado,67,135,4326
10,18,IN,Indiana,60,106,3612
10,54,WV,West Virginia,55,100,2400
10,21,KY,Kentucky,51,127,2366
10,53,WA,Washington,45,78,1883
10,27,MN,Minnesota,43,75,4343
10,01,AL,Alabama,42,82,3067
10,22,LA,Louisiana,39,61,1995
10,29,MO,Missouri,39,75,2130
10,20,KS,Kansas,36,64,1704
10,33,NH,New Hampshire,35,65,2733
10,35,NM,New Mexico,30,47,1095
10,55,WI,Wisconsin,29,50,1531
10,44,RI,Rhode Island,29,48,1319
10,40,OK,Oklahoma,29,56,1062
10,32,NV,Nevada,29,55,1203
10,28,MS,Mississippi,28,59,1334
10,23,ME,Maine,28,51,1368
10,19,IA,Iowa,25,57,1885
10,05,AR,Arkansas,25,50,999
10,41,OR,Oregon,24,52,1058
10,15,HI,Hawaii,24,44,944
10,49,UT,Utah,23,68,2224
10,50,VT,Vermont,21,30,1417
10,38,ND,North Dakota,18,28,565
10,02,AK,Alaska,18,33,693
10,31,NE,Nebraska,14,23,730
10,56,WY,Wyoming,-1,-1,-1
10,46,SD,South Dakota,-1,-1,-1
10,16,ID,Idaho,-1,-1,-1
10,30,MT,Montana,-1,-1,-1
11,96,DC,DC Total Migration-US and Foreign,22712,31280,1584958
11,97,DC,DC Total Migration-US,22187,30323,1531914
11,98,DC,DC Total Migration-Foreign,525,957,53044
11,11,DC,DC Non-migrants,255331,426998,25292722
11,24,MD,Maryland,7186,11554,474939
11,51,VA,Virginia,4312,5536,322857
11,36,NY,New York,1441,1746,129259
11,06,CA,California,1184,1409,79258
11,12,FL,Florida,745,972,63924
11,42,PA,Pennsylvania,704,815,38572
11,48,TX,Texas,695,984,36572
11,25,MA,Massachusetts,576,673,40731
11,37,NC,North Carolina,549,724,32917
11,57,FR,Foreign,525,957,53044
11,34,NJ,New Jersey,520,618,31753
11,17,IL,Illinois,440,527,33774
11,13,GA,Georgia,427,596,30759
11,39,OH,Ohio,277,322,15069
11,09,CT,Connecticut,261,306,18440
11,26,MI,Michigan,245,272,11893
11,53,WA,Washington,184,215,10588
11,08,CO,Colorado,180,227,18054
11,45,SC,South Carolina,151,198,8427
11,47,TN,Tennessee,147,195,7969
11,27,MN,Minnesota,144,161,8787
11,55,WI,Wisconsin,132,164,9654
11,29,MO,Missouri,127,150,7148
11,04,AZ,Arizona,116,158,6190
11,22,LA,Louisiana,115,141,5351
11,18,IN,Indiana,100,121,4802
11,41,OR,Oregon,89,98,4005
11,01,AL,Alabama,83,111,4147
11,10,DE,Delaware,80,104,5434
11,21,KY,Kentucky,77,92,3484
11,54,WV,West Virginia,73,93,4845
11,35,NM,New Mexico,65,83,3478
11,32,NV,Nevada,63,89,2389
11,33,NH,New Hampshire,63,69,3356
11,49,UT,Utah,59,82,7309
11,44,RI,Rhode Island,59,69,14343
11,28,MS,Mississippi,59,79,3404
11,23,ME,Maine,59,78,5349
11,19,IA,Iowa,58,66,2607
11,15,HI,Hawaii,49,67,2781
11,20,KS,Kansas,48,60,2842
11,40,OK,Oklahoma,47,59,2509
11,05,AR,Arkansas,47,57,2488
11,50,VT,Vermont,43,54,3400
11,31,NE,Nebraska,35,39,1523
11,30,MT,Montana,27,33,1273
11,02,AK,Alaska,27,36,2388
11,46,SD,South Dakota,19,21,873
11,16,ID,Idaho,-1,-1,-1
11,56,WY,Wyoming,-1,-1,-1
11,38,ND,North Dakota,-1,-1,-1
12,96,FL,FL Total Migration-US and Foreign,236191,425387,21266473
12,97,FL,FL Total Migration-US,229625,411266,20650919
12,98,FL,FL Total Migration-Foreign,6566,14121,615554
12,97,FL,FL Total Migration-Same State,227647,407226,10613324
12,12,FL,FL Non-migrants,7246289,14640337,493450202
12,36,NY,New York,25996,44983,2620649
12,48,TX,Texas,23089,42521,992239
12,13,GA,Georgia,15742,30190,1003635
12,34,NJ,New Jersey,12348,22202,1494652
12,42,PA,Pennsylvania,10438,18180,1017451
12,06,CA,California,10239,18149,1162002
12,37,NC,North Carolina,9428,17351,567708
12,39,OH,Ohio,9056,15742,840774
12,17,IL,Illinois,8803,15338,1466396
12,51,VA,Virginia,8567,15835,734499
12,25,MA,Massachusetts,7451,12715,750711
12,26,MI,Michigan,7449,12811,597318
12,57,FR,Foreign,6566,14121,615554
12,24,MD,Maryland,5875,10253,692993
12,09,CT,Connecticut,5800,10318,985402
12,47,TN,Tennessee,5637,10352,337489
12,01,AL,Alabama,5329,10204,303897
12,18,IN,Indiana,5117,9082,392763
12,45,SC,South Carolina,4416,8079,239369
12,08,CO,Colorado,3720,6590,487532
12,21,KY,Kentucky,3403,6182,246660
12,29,MO,Missouri,3271,5820,280468
12,55,WI,Wisconsin,3048,5349,412421
12,27,MN,Minnesota,2653,4650,322304
12,53,WA,Washington,2588,4598,163190
12,04,AZ,Arizona,2493,4431,166316
12,22,LA,Louisiana,2334,4323,246842
12,32,NV,Nevada,1949,3317,203724
12,33,NH,New Hampshire,1909,3172,256845
12,28,MS,Mississippi,1825,3633,104765
12,23,ME,Maine,1804,2993,159813
12,44,RI,Rhode Island,1598,2820,220498
12,40,OK,Oklahoma,1425,2715,124792
12,20,KS,Kansas,1327,2494,114195
12,54,WV,West Virginia,1232,2167,70207
12,05,AR,Arkansas,1202,2263,93334
12,19,IA,Iowa,1141,2071,123967
12,15,HI,Hawaii,1074,1922,52106
12,10,DE,Delaware,1016,1791,55112
12,35,NM,New Mexico,990,1768,51514
12,41,OR,Oregon,966,1619,58588
12,50,VT,Vermont,850,1380,100882
12,31,NE,Nebraska,804,1418,37316
12,49,UT,Utah,772,1575,45449
12,02,AK,Alaska,703,1243,35908
12,11,DC,District Of Columbia,671,949,90722
12,46,SD,South Dakota,485,849,44616
12,56,WY,Wyoming,426,752,18801
12,38,ND,North Dakota,423,764,24317
12,16,ID,Idaho,374,704,20431
12,30,MT,Montana,369,639,17333
13,96,GA,GA Total Migration-US and Foreign,101627,199299,4889104
13,97,GA,GA Total Migration-US,98749,192667,4717007
13,98,GA,GA Total Migration-Foreign,2878,6632,172097
13,97,GA,GA Total Migration-Same State,166329,334326,7248743
13,13,GA,GA Non-migrants,3266790,7430492,220961020
13,12,FL,Florida,15624,29784,692115
13,48,TX,Texas,10872,22498,414940
13,01,AL,Alabama,6655,13258,254092
13,37,NC,North Carolina,5808,11207,272361
13,36,NY,New York,5693,10822,288417
13,45,SC,South Carolina,5428,10368,226573
13,47,TN,Tennessee,5151,10001,232190
13,06,CA,California,4998,9491,308613
13,51,VA,Virginia,3583,6868,186031
13,57,FR,Foreign,2878,6632,172097
13,17,IL,Illinois,2816,5534,165275
13,39,OH,Ohio,2599,4826,138791
13,34,NJ,New Jersey,2267,4433,132886
13,42,PA,Pennsylvania,2229,4233,112848
